katilimci_no,madde_01,madde_02,madde_03,madde_04,madde_05,madde_06,madde_07,madde_08,madde_09,madde_10,madde_11,madde_12,madde_13,madde_14,madde_15,madde_16,madde_17,madde_18,madde_19,madde_20
71,4,3,5,3,3,4,4,5,4,4,5,3,2,4,4,4,3,4,3,4
72,3,4,3,3,2,3,3,2,4,4,3,3,3,4,3,2,4,3,2,2
73,3,4,4,3,3,3,3,2,3,3,3,2,4,2,2,2,2,2,3,2
74,3,4,3,3,3,2,4,4,3,3,3,3,4,2,2,3,3,2,3,3
75,4,4,4,4,3,5,4,4,3,3,4,3,2,3,2,3,3,5,3,4
76,3,2,1,2,2,3,1,3,2,3,3,2,3,3,3,3,2,1,1,1
77,3,4,3,4,2,3,3,4,4,4,4,2,2,2,3,4,4,3,4,2
78,3,5,4,4,4,3,4,5,3,5,3,4,3,4,4,4,3,4,4,4
79,3,3,3,4,3,4,4,4,3,1,2,3,4,2,4,4,3,4,3,4
80,3,4,3,4,4,3,4,2,3,4,4,3,4,5,4,3,4,2,4,3
81,4,2,5,5,5,5,5,5,5,4,5,5,5,3,4,3,4,4,5,3
82,3,3,3,4,3,4,3,4,4,4,4,4,3,5,3,4,3,4,4,3
83,2,4,2,2,4,4,3,3,3,3,3,3,2,3,3,3,5,3,3,4
84,5,5,4,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,4,5
85,5,3,3,3,4,2,3,3,4,3,3,2,3,3,4,3,4,5,3,5
86,4,4,4,3,5,4,4,5,3,4,3,4,3,5,3,4,3,3,3,3
87,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,5,3,4,2,4
88,4,4,4,4,3,4,4,4,5,4,5,5,4,4,4,4,4,4,5,4
89,4,3,5,4,5,3,3,4,5,5,4,4,4,5,5,4,4,4,5,3
90,2,2,3,2,2,1,2,3,2,3,1,4,3,2,1,2,2,4,2,2
91,4,4,3,3,3,5,4,4,5,4,4,4,4,5,3,5,4,3,5,4
92,5,4,4,5,5,3,4,5,4,4,4,4,3,4,5,3,4,4,4,4
93,3,2,3,2,3,3,3,2,3,2,3,2,5,2,3,3,3,3,2,3
94,5,3,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,3,5,4
95,4,3,5,4,4,4,4,5,4,3,4,5,4,4,4,5,5,4,4,4
96,3,3,3,5,3,3,3,2,4,3,3,2,3,2,4,3,5,2,3,5
97,5,3,5,4,4,5,4,5,4,4,4,5,4,4,4,4,3,4,4,3
98,4,4,4,3,3,2,4,3,3,4,3,3,3,2,3,4,4,5,3,3
99,5,4,3,4,4,3,3,3,5,4,4,4,1,3,3,5,4,5,5,5
100,4,3,3,3,2,4,2,3,2,4,4,2,2,2,2,3,3,4,3,1
101,1,1,4,2,1,2,2,2,3,3,2,3,3,2,4,2,2,1,2,2
102,3,2,2,3,4,5,3,2,4,3,3,3,1,3,3,5,5,2,3,3
103,5,3,5,5,5,4,5,4,5,4,4,4,3,5,5,4,4,5,5,4
104,3,5,4,5,4,4,5,5,5,5,3,5,4,4,4,5,4,5,4,4
105,4,4,4,4,4,3,5,5,4,5,4,5,5,4,3,4,3,4,5,3
106,4,2,3,3,3,4,5,3,4,3,4,3,3,3,2,3,3,2,2,4
107,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,5,3,3,5
108,3,5,4,4,3,5,4,3,5,4,4,4,3,3,4,3,3,3,5,4
109,3,2,2,2,3,3,3,4,3,2,2,3,3,2,3,2,2,4,3,2
110,4,4,4,4,3,4,3,2,1,2,1,3,3,3,3,3,4,3,2,4
111,3,5,4,5,4,4,3,3,4,4,4,3,4,4,4,4,5,4,4,4
112,4,3,3,3,4,3,3,4,4,2,3,4,3,4,3,3,4,3,4,4
113,4,3,4,3,3,4,3,4,4,4,3,3,2,3,4,2,4,4,2,3
114,3,4,5,4,4,5,4,4,5,5,4,4,4,5,5,4,3,5,4,5
115,5,3,5,4,3,4,3,3,3,4,4,4,3,3,4,4,3,3,4,4
116,3,4,5,3,4,4,3,4,5,5,5,4,4,5,5,5,4,5,5,5
117,3,3,4,4,4,3,4,3,4,4,3,3,2,3,3,4,5,3,5,4
118,3,2,2,2,2,3,2,2,3,2,3,3,3,3,3,2,3,2,4,3
119,3,3,2,4,4,4,3,2,2,4,3,3,3,4,2,3,3,2,3,4
120,5,3,3,5,5,4,5,4,4,4,5,5,4,4,3,5,2,5,4,4
121,4,4,4,3,3,3,3,5,4,4,3,3,4,4,3,3,3,4,3,4
122,4,5,4,4,4,4,5,3,5,3,4,5,3,5,5,5,2,4,5,4
123,4,3,2,4,4,3,4,4,4,3,4,4,5,5,5,3,4,2,5,5
124,4,4,3,2,4,2,3,3,4,3,3,3,4,2,3,4,4,4,4,4
125,1,2,2,2,2,1,1,1,2,1,1,1,3,2,1,2,2,2,1,1
126,3,4,5,5,4,4,4,4,4,5,5,5,3,4,5,5,3,4,5,4
127,5,5,4,2,3,4,3,4,4,3,4,4,3,4,3,3,2,3,3,3
128,3,3,4,4,4,4,3,4,4,3,4,3,4,5,2,2,2,2,5,3
129,4,4,4,4,4,4,4,4,4,4,5,3,3,5,3,4,4,4,4,5
130,4,5,4,5,4,5,5,5,4,5,4,5,5,4,4,4,5,3,4,5
131,3,3,2,2,3,3,3,5,2,4,2,1,3,2,3,3,3,3,2,2
132,2,5,5,4,5,5,4,4,4,5,4,5,4,3,4,3,4,4,5,5
133,4,4,3,4,4,1,4,3,4,4,4,5,2,4,5,4,3,4,5,5
134,4,4,5,4,5,4,3,3,5,4,5,4,5,5,4,4,4,3,5,3
135,5,3,5,5,4,4,3,4,5,5,4,4,4,5,5,3,4,5,5,5
136,4,5,5,4,4,3,4,4,2,2,4,4,4,2,4,5,5,3,4,5
137,2,3,3,3,3,3,2,2,3,2,1,3,1,1,2,3,1,2,2,2
138,3,1,2,2,2,3,3,2,3,3,1,2,2,2,2,2,3,3,3,2
139,4,2,3,3,2,3,3,1,2,3,4,4,3,3,2,3,4,2,3,2
140,2,3,3,4,3,3,3,3,3,3,4,4,3,3,4,2,3,2,3,4
141,4,2,4,3,4,3,1,4,4,4,2,3,4,3,1,3,3,3,3,3
142,1,2,1,2,2,1,2,2,3,1,2,1,2,2,3,3,2,1,3,2
143,3,3,2,2,3,1,2,1,2,2,3,2,2,2,4,2,1,1,3,2
144,2,3,4,4,3,3,3,4,4,3,3,5,4,4,5,4,3,2,4,5
145,4,3,4,5,3,5,3,3,4,3,3,4,3,2,3,3,4,3,3,5
146,5,4,3,4,4,4,3,5,4,4,4,4,3,3,4,4,4,4,4,4
147,3,3,4,3,3,4,3,4,3,3,2,3,3,3,4,3,2,4,2,2
148,5,4,4,5,3,3,4,5,3,3,3,4,4,3,3,5,3,2,4,4
149,5,5,5,5,5,3,5,5,5,4,5,5,4,5,5,5,5,5,5,5
150,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5
151,3,2,3,4,5,3,2,2,3,4,3,4,3,4,3,4,3,2,5,3
152,4,4,4,4,5,5,3,5,5,4,5,4,4,3,4,4,5,4,4,4
153,2,4,2,5,3,2,2,2,3,3,3,2,1,3,3,3,3,2,3,2
154,5,4,3,5,4,3,5,5,3,2,4,4,3,3,4,3,5,4,4,4
155,4,3,5,4,4,4,5,4,5,5,4,3,5,4,5,4,4,4,4,4
156,3,3,4,5,4,3,5,4,4,3,3,4,5,5,4,3,3,5,3,4
157,4,3,4,3,4,4,3,4,3,2,4,3,2,4,4,5,3,4,5,4
158,4,5,4,2,3,4,3,5,5,4,4,4,3,4,3,4,4,5,5,4
159,3,2,3,2,3,2,4,3,1,4,4,4,4,2,3,4,3,3,2,3
160,3,5,3,3,2,4,3,4,4,3,2,2,2,4,3,3,4,3,3,3
161,4,3,5,4,5,5,4,5,4,4,5,5,5,5,3,5,4,5,4,4
162,2,3,3,2,3,2,3,4,2,4,4,2,4,3,2,4,4,2,4,3
163,3,2,3,3,4,4,3,4,4,5,2,3,4,4,3,4,4,3,3,3
164,5,4,5,4,4,3,4,3,4,4,4,4,5,4,4,5,4,4,4,3
165,1,2,1,2,1,1,3,1,1,2,1,2,2,1,1,1,3,1,3,1
166,4,4,4,3,4,3,3,3,3,4,4,4,3,4,4,3,3,4,3,3
167,4,3,4,4,5,3,5,5,4,5,4,5,3,5,4,5,3,4,4,4
168,4,5,5,4,5,4,5,5,5,4,5,5,3,4,4,5,5,4,4,5
169,3,4,4,4,3,2,4,3,4,4,5,4,4,4,3,5,5,5,4,4
170,4,5,4,4,4,4,4,2,4,4,3,4,5,4,3,5,4,4,4,3
171,3,2,2,4,3,1,3,2,4,3,3,3,4,2,4,3,3,3,3,4
172,4,2,5,3,3,4,4,4,4,4,5,3,3,4,4,4,4,5,3,4
173,4,4,5,5,5,5,5,4,5,4,3,5,4,5,5,5,3,5,4,4
174,4,4,4,3,4,4,3,5,4,5,3,2,3,3,3,4,3,5,3,4
175,2,5,3,3,4,4,3,3,3,3,4,4,3,4,5,3,3,4,4,4
176,3,2,3,4,4,2,3,4,4,4,3,2,3,3,4,4,4,2,3,4
177,3,4,2,3,3,3,2,2,3,3,3,3,2,4,3,3,4,4,3,4
178,3,1,3,3,2,1,3,2,3,3,1,1,4,3,3,2,3,3,3,3
179,4,4,4,5,4,4,3,3,4,3,4,4,5,4,5,4,3,5,4,4
180,5,4,5,5,4,5,4,5,5,5,5,4,5,3,5,5,5,5,3,3
181,2,4,2,2,3,5,3,2,2,3,1,3,3,3,3,3,4,2,2,3
182,5,3,2,3,4,3,5,3,5,4,4,3,4,4,4,4,3,5,4,3
183,2,4,1,2,3,3,3,3,3,4,2,3,1,5,3,2,3,3,2,3
184,4,2,3,3,4,4,4,5,4,4,5,4,3,4,2,4,4,3,4,3
185,5,5,3,5,5,4,3,5,4,3,4,4,5,4,5,3,4,5,3,3
186,3,5,4,3,4,3,3,3,3,4,4,3,3,4,2,4,4,3,2,3
187,4,3,2,2,4,3,3,3,3,3,3,4,2,3,4,3,4,4,2,4
188,1,4,1,2,4,3,2,2,3,3,2,2,3,2,3,2,1,1,2,3
189,3,3,3,4,4,2,3,4,3,2,3,3,4,4,3,4,2,3,4,4
190,3,4,4,4,3,3,3,4,5,5,4,4,4,4,4,3,4,3,4,4
191,5,3,4,4,5,3,4,4,4,4,5,4,5,4,5,4,5,2,3,4
192,5,4,5,4,4,3,4,4,5,5,5,5,5,5,5,5,4,4,5,4
193,2,1,2,3,2,1,2,3,2,1,3,1,3,2,2,1,2,3,3,3
194,4,3,3,3,4,4,3,4,4,4,4,3,5,4,4,5,5,4,4,3
195,2,4,4,4,2,2,5,4,2,2,4,2,1,4,2,4,3,3,3,3
196,1,3,3,2,4,3,4,4,4,3,4,4,5,5,4,3,4,4,4,4
197,2,1,3,2,4,3,3,4,2,1,3,3,3,3,3,3,3,3,3,3
198,4,4,3,4,5,5,3,4,4,4,4,4,4,3,4,3,2,4,4,4
199,4,5,2,4,3,3,3,2,3,3,4,3,4,3,4,4,2,4,3,2
200,2,5,3,4,4,3,3,5,4,4,5,4,4,5,4,4,4,3,4,4
